experiment_id,learning_rate,epochs,country,pc1_score
exp_018,0.01,3000,Belgium,-0.6810917962433471
exp_018,0.01,3000,Italy,-0.8531892227777245
exp_018,0.01,3000,Sweden,-0.8849740442595434
exp_018,0.01,3000,Denmark,-0.9551877017561616
exp_018,0.01,3000,Austria,-1.081654639274419
exp_018,0.01,3000,Iceland,-1.5835919500499023
exp_018,0.01,3000,Ireland,-1.8089819398428075
exp_018,0.01,3000,Netherlands,-1.8400692455775733
exp_018,0.01,3000,Norway,-2.106447072348287
exp_018,0.01,3000,Switzerland,-3.281598835012939
exp_018,0.01,3000,Luxembourg,-3.4783886365471517
exp_019,0.05,25,Ukraine,3.715549881281044
exp_019,0.05,25,Bulgaria,2.891907205070239
exp_019,0.05,25,Estonia,2.510665932821488
exp_019,0.05,25,Latvia,2.2040081072812856
exp_019,0.05,25,Croatia,1.5332148415094433
exp_019,0.05,25,Greece,1.4443538752458467
exp_019,0.05,25,Hungary,1.4206545846583587
exp_019,0.05,25,Lithuania,1.3384157007078403
exp_019,0.05,25,Poland,1.2925385638941123
exp_019,0.05,25,Slovakia,0.6189332222373138
exp_019,0.05,25,Portugal,0.6037578635812075
exp_019,0.05,25,Slovenia,0.4301861913036883
exp_019,0.05,25,Czech Republic,0.07648280242929717
exp_019,0.05,25,Finland,-0.19230943258099403
exp_019,0.05,25,United Kingdom,-0.39498915975251336
exp_019,0.05,25,Germany,-0.4740919544562808
exp_019,0.05,25,Belgium,-0.5919114644004688
exp_019,0.05,25,Spain,-0.7338698152437895
exp_019,0.05,25,Denmark,-0.8103470996209589
exp_019,0.05,25,Italy,-0.8527739908125731
exp_019,0.05,25,Sweden,-1.0000145285720425
exp_019,0.05,25,Austria,-1.0646382952744358
exp_019,0.05,25,Netherlands,-1.5689933308840858
exp_019,0.05,25,Norway,-1.7973129200543294
